,top-left,top-middle,top-right,middle-left,middle-middle,middle-right,bottom-left,bottom-middle,bottom-right,Class
0,x,x,x,x,o,o,x,o,o,1
1,x,x,x,x,o,o,o,x,o,1
2,x,x,x,x,o,o,o,o,x,1
3,x,x,x,x,o,o,o,b,b,1
4,x,x,x,x,o,o,b,o,b,1
5,x,x,x,x,o,o,b,b,o,1
6,x,x,x,x,o,b,o,o,b,1
7,x,x,x,x,o,b,o,b,o,1
8,x,x,x,x,o,b,b,o,o,1
9,x,x,x,x,b,o,o,o,b,1
10,x,x,x,x,b,o,o,b,o,1
11,x,x,x,x,b,o,b,o,o,1
12,x,x,x,o,x,o,x,o,o,1
13,x,x,x,o,x,o,o,x,o,1
14,x,x,x,o,x,o,o,o,x,1
15,x,x,x,o,x,o,o,b,b,1
16,x,x,x,o,x,o,b,o,b,1
17,x,x,x,o,x,o,b,b,o,1
18,x,x,x,o,x,b,o,o,b,1
19,x,x,x,o,x,b,o,b,o,1
20,x,x,x,o,x,b,b,o,o,1
21,x,x,x,o,o,x,x,o,o,1
22,x,x,x,o,o,x,o,x,o,1
23,x,x,x,o,o,x,o,o,x,1
24,x,x,x,o,o,x,o,b,b,1
25,x,x,x,o,o,x,b,o,b,1
26,x,x,x,o,o,x,b,b,o,1
27,x,x,x,o,o,b,x,o,b,1
28,x,x,x,o,o,b,x,b,o,1
29,x,x,x,o,o,b,o,x,b,1
30,x,x,x,o,o,b,o,b,x,1
31,x,x,x,o,o,b,b,x,o,1
32,x,x,x,o,o,b,b,o,x,1
33,x,x,x,o,o,b,b,b,b,1
34,x,x,x,o,b,x,o,o,b,1
35,x,x,x,o,b,x,o,b,o,1
36,x,x,x,o,b,x,b,o,o,1
37,x,x,x,o,b,o,x,o,b,1
38,x,x,x,o,b,o,x,b,o,1
39,x,x,x,o,b,o,o,x,b,1
40,x,x,x,o,b,o,o,b,x,1
41,x,x,x,o,b,o,b,x,o,1
42,x,x,x,o,b,o,b,o,x,1
43,x,x,x,o,b,o,b,b,b,1
44,x,x,x,o,b,b,x,o,o,1
45,x,x,x,o,b,b,o,x,o,1
46,x,x,x,o,b,b,o,o,x,1
47,x,x,x,o,b,b,o,b,b,1
48,x,x,x,o,b,b,b,o,b,1
49,x,x,x,o,b,b,b,b,o,1
50,x,x,x,b,x,o,o,o,b,1
51,x,x,x,b,x,o,o,b,o,1
52,x,x,x,b,x,o,b,o,o,1
53,x,x,x,b,o,x,o,o,b,1
54,x,x,x,b,o,x,o,b,o,1
55,x,x,x,b,o,x,b,o,o,1
56,x,x,x,b,o,o,x,o,b,1
57,x,x,x,b,o,o,x,b,o,1
58,x,x,x,b,o,o,o,x,b,1
59,x,x,x,b,o,o,o,b,x,1
60,x,x,x,b,o,o,b,x,o,1
61,x,x,x,b,o,o,b,o,x,1
62,x,x,x,b,o,o,b,b,b,1
63,x,x,x,b,o,b,x,o,o,1
64,x,x,x,b,o,b,o,x,o,1
65,x,x,x,b,o,b,o,o,x,1
66,x,x,x,b,o,b,o,b,b,1
67,x,x,x,b,o,b,b,o,b,1
68,x,x,x,b,o,b,b,b,o,1
69,x,x,x,b,b,o,x,o,o,1
70,x,x,x,b,b,o,o,x,o,1
71,x,x,x,b,b,o,o,o,x,1
72,x,x,x,b,b,o,o,b,b,1
73,x,x,x,b,b,o,b,o,b,1
74,x,x,x,b,b,o,b,b,o,1
75,x,x,x,b,b,b,o,o,b,1
76,x,x,x,b,b,b,o,b,o,1
77,x,x,x,b,b,b,b,o,o,1
78,x,x,o,x,x,o,o,o,x,1
79,x,x,o,x,o,x,x,o,o,1
80,x,x,o,x,o,o,x,o,x,1
81,x,x,o,x,o,o,x,b,b,1
